,model,task,step,example_id,ade,fde
0,offline,0,513,0,0.08124491198712815,0.18031659032151165
1,offline,0,513,1,0.17684479475633227,0.46974112767038567
2,offline,0,513,2,0.10174182858695362,0.24501731063558782
3,offline,0,513,3,0.49981407865006305,0.8548354275838739
4,offline,0,513,4,0.3326976132054067,0.6122375300542001
5,offline,0,513,5,0.022993845108426676,0.06927976681327498
6,offline,0,513,6,0.06881059610276988,0.10935890419356607
7,offline,0,513,7,0.08329117783514084,0.17035224505163982
8,offline,0,513,8,0.06400968689317074,0.12505245321637382
9,offline,0,513,9,0.16311021374180784,0.4850256340454091
10,offline,0,513,10,0.10235052246695682,0.33769141216114423
11,offline,0,513,11,0.06982476243739673,0.16059385165552525
12,offline,0,513,12,0.20728988071895232,0.506444436011158
13,offline,0,513,13,0.08420637605235654,0.2010127514775847
14,offline,0,513,14,0.0733026835235407,0.3094784640427002
15,offline,0,513,15,0.04147632905482164,0.03594244786533181
16,offline,0,513,16,0.17306357860663849,0.24882916117006013
17,offline,0,513,17,0.011825229370452502,0.014745972384386812
18,offline,0,513,18,0.03789350071799736,0.02582241112141285
19,offline,0,513,19,0.229497853569923,0.42285724265513003
20,offline,0,513,20,0.05493829464378106,0.21608350333893145
21,offline,0,513,21,0.26459881836523247,0.5080144499647385
22,offline,0,513,22,0.0911129927512679,0.18290537981043203
23,offline,0,513,23,0.024572689087781305,0.044304737476353016
24,offline,0,513,24,0.1635589629534886,0.15784205209839874
25,offline,0,513,25,0.06813981896070072,0.1754968622834472
26,offline,0,513,26,0.13481071593865757,0.3424803359248288
27,offline,0,513,27,0.4039067088154421,0.6749295741643182
28,offline,0,513,28,0.15310780749057412,0.28848712164772466
29,offline,0,513,29,0.13278124174494232,0.2988327391833943
30,offline,0,513,30,0.46814791914613374,0.6790590137826441
31,offline,0,513,31,0.09537792075133963,0.16993672555719586
32,offline,0,513,32,0.4637280127416859,0.7658761462981568
33,offline,0,513,33,0.04852455349262186,0.1604669589248598
34,offline,0,513,34,0.07606294024054824,0.13586581881467932
35,offline,0,513,35,0.457046768097287,0.8522787537225488
36,offline,0,513,36,0.27123008960382794,0.5970432206424389
37,offline,0,513,37,0.13038846807913923,0.2263270894930259
38,offline,0,513,38,0.017950270433528807,0.055182577039107936
39,offline,0,513,39,0.13677572883183153,0.22577785315211943
40,offline,0,513,40,0.07451323409924743,0.22542831911027875
41,offline,0,513,41,0.06842956641292762,0.13932783949671745
42,offline,0,513,42,0.1498944003466745,0.3170287737771504
43,offline,0,513,43,0.013000918363484397,0.008797998456905013
44,offline,0,513,44,0.05349848475429108,0.13067809304019215
45,offline,0,513,45,0.07052304758170319,0.22903633956161587
46,offline,0,513,46,0.30854670914327686,0.5520932324592798
47,offline,0,513,47,0.06889690489932217,0.15769370343962313
48,offline,0,513,48,0.05473374508215541,0.11316386583110552
49,offline,0,513,49,0.09580689195493944,0.24184554078302295
50,offline,0,513,50,0.09456831496693656,0.19418895851187418
51,offline,0,513,51,0.0407366410220347,0.06346218966254041
52,offline,0,513,52,0.05771499607101654,0.14671799749655753
53,offline,0,513,53,1.3302549119915839,2.7352547235787363
54,offline,0,513,54,0.1629508275298658,0.2689463983411275
55,offline,0,513,55,0.44179993403646783,0.9511980507001612
56,offline,0,513,56,0.04618768993773119,0.15887458233466
57,offline,0,513,57,0.1702640505616597,0.3265630610073796
58,offline,0,513,58,0.11655388909219552,0.4041159256056363
59,offline,0,513,59,0.0515049423651369,0.14260982077646497
60,offline,0,513,60,0.10946816627449432,0.3009415834286439
61,offline,0,513,61,0.0811669060248219,0.17430961564087089
62,offline,0,513,62,0.09039592754546785,0.25384974159357515
63,offline,0,513,63,0.08455623086459389,0.11217871088154523
64,offline,0,513,64,0.20865275697091087,0.4679167119714089
65,offline,0,513,65,0.040804665486260785,0.04198240328526382
66,offline,0,513,66,0.06268858294512647,0.20067753837837432
67,offline,0,513,67,0.05381955744858835,0.10999173163849002
68,offline,0,513,68,0.07823285551847553,0.17739734103952132
69,offline,0,513,69,0.0397486776631035,0.09373909936830846
70,offline,0,513,70,0.08405717284849344,0.1788024415432044
71,offline,0,513,71,0.16166905283779798,0.32223365475498633
72,offline,0,513,72,0.336118881477878,1.007763334241489
73,offline,0,513,73,0.0833948031032233,0.3843338977876617
74,offline,0,513,74,0.026979156109522243,0.06839254084477385
75,offline,0,513,75,0.1519238130172113,0.285206200023093
76,offline,0,513,76,0.39222963248332204,0.8796747397828449
77,offline,0,513,77,0.34805226136341433,0.596316294906432
78,offline,0,513,78,0.029946895770186735,0.09114231979745127
79,offline,0,513,79,0.13128742923621714,0.1079376523769225
80,offline,0,513,80,0.3216463048161908,0.4792325545302033
81,offline,0,513,81,0.19595565519847036,0.38056995147246364
82,offline,0,513,82,0.014582090035998526,0.04388645768099072
83,offline,0,513,83,0.059328683150406444,0.16734422036018198
84,offline,0,513,84,0.09896994667252366,0.2454508609142178
85,offline,0,513,85,0.09992655398131518,0.3755716978617514
86,offline,0,513,86,0.0559005142618986,0.12161299021656327
87,offline,0,513,87,0.17655007547624557,0.5710161111579923
88,offline,0,513,88,0.17829134482270212,0.4188429538671413
89,offline,0,513,89,0.4165957605126216,0.7499643996443808
90,offline,0,513,90,0.058833773549717056,0.1033434008784602
91,offline,0,513,91,0.09177561971069031,0.2564662275399685
92,offline,0,513,92,0.09093337346792575,0.15795729322733518
93,offline,0,513,93,0.09497008854100279,0.23114463775788
94,offline,0,513,94,0.05673340467377673,0.19885104892641342
95,offline,0,513,95,0.15818958758150173,0.30545691760737126
