,Time,Scene,PedestrianId,X,Y,Yaw,Vx,Vy
0,0.0,0,11,13.955648496476453,8.21847707167637,-2.160720200928035,-0.26481168313286674,-0.39556875585031226
1,0.0,0,12,16.041950990855106,6.1699238881924465,-0.3688296607011055,0.7157899639678315,-0.2766652538678186
2,0.0,0,13,18.00206969109534,7.613533689409666,0.05674708553362636,0.8548872655658244,0.04856450162488566
3,0.0,0,16,15.359064419317031,6.701169348698112,0.08677579669146555,1.150165667124748,0.10005781467050791
4,0.0,0,17,13.003868993222753,8.478321987564373,0.29771073510059004,0.6429247733861663,0.1972684141045638
5,0.0,0,18,13.435587320656124,5.576210173557113,3.0554149916439215,-1.3101160788026585,0.11318306742684153
6,0.0,0,19,15.846574194013042,8.505472217593635,-3.024199301500862,-0.9194977508412584,-0.10844153293854639
7,0.0,0,20,8.611294313207823,6.001255296705128,0.052414689667293964,0.6476257745784073,0.03397622398515181
8,0.0,0,21,8.824981954084343,8.036218060083746,0.015087757646217987,0.8642584702122406,0.013040711888361567
9,0.0,0,22,19.650809968830377,5.987559070882412,-3.1159447497632926,-1.328826388810447,-0.03408908652063163
10,0.0,0,23,20.155158110193426,8.036198236496169,3.006726594505771,-0.8098728380609598,0.10989143374955015
0,200.0,0,11,13.90523448779568,8.137721647167284,-2.1169624607054205,-0.2472545292242837,-0.40677397397904347
1,200.0,0,12,16.183976866622686,6.1117622240334954,-0.40048086278950695,0.706676129364556,-0.2991785142705656
2,200.0,0,16,15.588715214443834,6.722874776089059,0.09814628451365126,1.1474878230667565,0.11298468180127377
3,200.0,0,17,13.130806918190475,8.521960993247877,0.3481430977135837,0.632980402938297,0.2297247868831787
4,200.0,0,18,13.173638714432784,5.599691797111285,3.0504514255088426,-1.3095381508444894,0.11968449428475837
5,200.0,0,19,15.6636584583283,8.4808643828374,-2.997957793748677,-0.9091132540337699,-0.1314858277962095
6,200.0,0,20,8.742501745362565,6.0094940287435215,0.06853001706976139,0.6567431997916866,0.0450772111148058
7,200.0,0,21,9.000186207549172,8.038204321173247,0.009959495464627016,0.8775071264007634,0.008739817219482523
8,200.0,0,22,19.38513917488648,5.982641563160109,-3.1298395308728764,-1.3249044306966102,-0.015572481408312487
9,200.0,0,23,19.989454677868395,8.055969502556314,3.04814238440325,-0.8487827063802906,0.07955067809676011
