,model,task,step,example_id,ade,fde
0,offline,0,513,0,0.28629897950238875,0.716641441258193
1,offline,0,513,1,0.3923035015275223,0.6187304137174556
2,offline,0,513,2,0.06628751216849935,0.08309701234946637
3,offline,0,513,3,0.052614616245010674,0.08142126806156103
4,offline,0,513,4,0.2774266393266153,0.9464749293697923
5,offline,0,513,5,0.20198558077740164,0.3378221195241066
6,offline,0,513,6,0.06877142831484549,0.11105275524747867
7,offline,0,513,7,0.05825907657907761,0.02986425595148609
8,offline,0,513,8,0.30681727226241357,0.9464728358740664
9,offline,0,513,9,0.1123633452705506,0.24388798380233148
10,offline,0,513,10,0.34563690794301316,0.9000449224842414
11,offline,0,513,11,0.2772261180978656,0.29044357291988254
12,offline,0,513,12,0.05958041050884712,0.06243348896890322
13,offline,0,513,13,0.3946639543652385,1.3013259180386172
14,offline,0,513,14,0.22656598347213555,0.47603480961967504
15,offline,0,513,15,0.14707869468898252,0.22419271762260043
16,offline,0,513,16,0.04379107709678223,0.05675638142392887
17,offline,0,513,17,0.11829034318737515,0.20283883480672155
18,offline,0,513,18,0.10364458662555553,0.14847997303200988
19,offline,0,513,19,0.16497399242478508,0.43624919468478657
20,offline,0,513,20,0.08989148441641308,0.23430110456695213
21,offline,0,513,21,0.04414911871576383,0.11290493256808289
22,offline,0,513,22,0.07170171926156295,0.07039000565411825
23,offline,0,513,23,0.2741813098850879,0.6273289747926408
24,offline,0,513,24,0.04742780001124865,0.09092792813376657
25,offline,0,513,25,0.24569136898734467,0.2695506902817916
26,offline,0,513,26,0.05119848941734393,0.11511998695050496
27,offline,0,513,27,0.21259223370327623,0.9190575203243053
28,offline,0,513,28,0.07541864532588526,0.2096788255625344
29,offline,0,513,29,0.065914054681589,0.15662652123895912
30,offline,0,513,30,0.4399033370127128,0.9636203348387388
31,offline,0,513,31,0.04807170937552384,0.08625023943862553
32,offline,0,513,32,0.10731210660989299,0.2775557291894002
33,offline,0,513,33,0.07221568975893698,0.23310168259150577
34,offline,0,513,34,0.1312070346279927,0.26096357942538506
35,offline,0,513,35,0.3584043865108757,0.6153183543653404
36,offline,0,513,36,0.040597193201573296,0.07784613580702023
37,offline,0,513,37,0.07035202440690795,0.16311623027024347
38,offline,0,513,38,0.05517264360700919,0.0790706253023731
39,offline,0,513,39,0.17155924449746474,0.8363676619170035
40,offline,0,513,40,0.39699970414088676,0.5695450327976063
41,offline,0,513,41,0.04134938519799008,0.05778216349443924
42,offline,0,513,42,0.08318630218025966,0.12715209747998402
43,offline,0,513,43,0.08419190424125764,0.13130321457344038
44,offline,0,513,44,0.24029915143990702,0.4885095757925192
45,offline,0,513,45,0.08924895261424769,0.06844829451811962
46,offline,0,513,46,0.1646240284822671,0.4970806023549112
47,offline,0,513,47,0.20756314683999938,0.5396141358160216
48,offline,0,513,48,0.05568656611258024,0.10329534059203391
49,offline,0,513,49,0.3518048041250466,1.021400015480654
50,offline,0,513,50,0.14659901515991525,0.4346727096601136
51,offline,0,513,51,0.05552773703136282,0.06704939005772637
52,offline,0,513,52,0.12276465213073927,0.2164792744415682
53,offline,0,513,53,0.32765513008571584,0.2329739504865569
54,offline,0,513,54,0.3285693357361171,0.8869306160198401
55,offline,0,513,55,0.11674917683869536,0.18780520558521366
56,offline,0,513,56,0.10046913947321429,0.10959619972793298
57,offline,0,513,57,0.13315551506191933,0.23309240421577115
58,offline,0,513,58,0.18232131712276348,0.3262640266666509
59,offline,0,513,59,0.057748641531466104,0.08837082242068482
60,offline,0,513,60,0.05394860407579794,0.08225447703252366
61,offline,0,513,61,0.07080527660498533,0.17579857008610977
62,offline,0,513,62,0.07516929177331898,0.17321333518450158
63,offline,0,513,63,0.12579558200184623,0.22228677207788936
64,offline,0,513,64,0.06690825458480289,0.21627237005605454
65,offline,0,513,65,0.18002030402731944,0.5844482464549416
66,offline,0,513,66,0.04170978215579534,0.03558080041221308
67,offline,0,513,67,0.1801526272351007,0.4141081594678809
68,offline,0,513,68,0.09378394010479484,0.13321543145582226
69,offline,0,513,69,0.2961191200908774,0.575079845888414
